"Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR"
"E0,21/04/18,FC Metz,SM Caen,,,"
"E0,21/04/18,FC Nantes,Stade Rennais FC,,,"
"E0,21/04/18,OGC Nice,Montpellier Hérault SC,,,"
"E0,21/04/18,Olympique de Marseille,OSC Lille,,,"
"E0,21/04/18,AS Saint-Étienne,ES Troyes AC,,,"
"E0,21/04/18,Toulouse FC,Angers SCO,,,"
"E0,28/04/18,AS Monaco FC,Amiens SC,,,"
"E0,28/04/18,OSC Lille,FC Metz,,,"
"E0,28/04/18,FC Girondins de Bordeaux,Dijon FCO,,,"
"E0,28/04/18,Angers SCO,Olympique de Marseille,,,"
"E0,28/04/18,Montpellier Hérault SC,AS Saint-Étienne,,,"
"E0,28/04/18,Olympique Lyonnais,FC Nantes,,,"
"E0,28/04/18,Paris Saint-Germain,EA Guingamp,,,"
"E0,28/04/18,Stade Rennais FC,Toulouse FC,,,"
"E0,28/04/18,RC Strasbourg Alsace,OGC Nice,,,"
"E0,28/04/18,ES Troyes AC,SM Caen,,,"
"E0,06/05/18,Dijon FCO,EA Guingamp,,,"
"E0,06/05/18,SM Caen,AS Monaco FC,,,"
"E0,06/05/18,Amiens SC,Paris Saint-Germain,,,"
"E0,06/05/18,FC Metz,Angers SCO,,,"
"E0,06/05/18,FC Nantes,Montpellier Hérault SC,,,"
"E0,06/05/18,Olympique Lyonnais,ES Troyes AC,,,"
"E0,06/05/18,Olympique de Marseille,OGC Nice,,,"
"E0,06/05/18,Stade Rennais FC,RC Strasbourg Alsace,,,"
"E0,06/05/18,AS Saint-Étienne,FC Girondins de Bordeaux,,,"
"E0,06/05/18,Toulouse FC,OSC Lille,,,"
"E0,12/05/18,FC Girondins de Bordeaux,Toulouse FC,,,"
"E0,12/05/18,Angers SCO,FC Nantes,,,"
"E0,12/05/18,Amiens SC,FC Metz,,,"
"E0,12/05/18,Paris Saint-Germain,Stade Rennais FC,,,"
"E0,12/05/18,EA Guingamp,Olympique de Marseille,,,"
"E0,12/05/18,OSC Lille,Dijon FCO,,,"
"E0,12/05/18,AS Monaco FC,AS Saint-Étienne,,,"
"E0,12/05/18,Montpellier Hérault SC,ES Troyes AC,,,"
"E0,12/05/18,OGC Nice,SM Caen,,,"
"E0,12/05/18,RC Strasbourg Alsace,Olympique Lyonnais,,,"
"E0,19/05/18,Dijon FCO,Angers SCO,,,"
"E0,19/05/18,FC Metz,FC Girondins de Bordeaux,,,"
"E0,19/05/18,FC Nantes,RC Strasbourg Alsace,,,"
"E0,19/05/18,Olympique Lyonnais,OGC Nice,,,"
"E0,19/05/18,Olympique de Marseille,Amiens SC,,,"
"E0,19/05/18,Stade Rennais FC,Montpellier Hérault SC,,,"
"E0,19/05/18,AS Saint-Étienne,OSC Lille,,,"
"E0,19/05/18,Toulouse FC,EA Guingamp,,,"
